IDATE,ACSTATE,TFAT,TINJ,TOTAL_COST_CURRENT,LOSS,RECOV,CAUSE,ACCOUNTY,LAT,LONG
1986,Colorado,0.0,0.0,119875.022445681,1175.0,4.0,OTHER OUTSIDE FORCE DAMAGE,EL PASO,31.75872,-106.48693
1987,Texas,0.0,0.0,27768.177028451,700.0,500.0,OTHER,EL PASO,31.75872,-106.48693
1988,Texas,0.0,0.0,0.0,131.0,9.0,EQUIPMENT FAILURE,EL PASO,31.75872,-106.48693
1989,Texas,0.0,0.0,45844.5519947678,876.0,40.0,OTHER,EL PASO,31.75872,-106.48693
1989,Texas,0.0,0.0,207930.129496403,187.0,15.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,EL PASO,31.75872,-106.48693
1991,Texas,0.0,0.0,41587.7672860189,1433.0,1144.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,EL PASO,31.75872,-106.48693
1992,Texas,0.0,0.0,1254384.78454681,800.0,75.0,OTHER OUTSIDE FORCE DAMAGE,EL PASO,31.75872,-106.48693
1993,Colorado,0.0,0.0,102020.905923345,142.0,45.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,EL PASO,31.75872,-106.48693
1993,Texas,0.0,0.0,127526.132404181,400.0,0.0,OTHER OUTSIDE FORCE DAMAGE,EL PASO,31.75872,-106.48693
1995,Texas,0.0,1.0,24440.734557596,0.0,0.0,OTHER,EL PASO,31.75872,-106.48693
1996,Texas,0.0,0.0,239901.679639492,304.0,20.0,OTHER,EL PASO,31.75872,-106.48693
2000,Texas,0.0,0.0,0.0,90.0,60.0,OTHER,EL PASO,31.75872,-106.48693
2001,Texas,0.0,0.0,146693.386773547,450.0,376.0,EQUIPMENT FAILURE,EL PASO,31.75872,-106.48693
1986,Texas,0.0,0.0,3154.60585383372,50.0,0.0,OTHER,CONCHO,31.3265,-99.86396
1986,Texas,0.0,0.0,0.0,400.0,350.0,CORROSION,CALDWELL,29.83712,-97.62
1991,Texas,0.0,0.0,80268.0475175145,290.0,255.0,OTHER OUTSIDE FORCE DAMAGE,CALDWELL,29.83712,-97.62
1999,Texas,0.0,0.0,383095.643072092,389.0,40.0,OTHER OUTSIDE FORCE DAMAGE,CALDWELL,29.83712,-97.62
1986,Texas,0.0,0.0,0.0,164.0,87.0,OTHER OUTSIDE FORCE DAMAGE,JASPER,37.08423,-94.51328
1987,Texas,0.0,0.0,15459.6754478398,5.0,0.0,CORROSION,JASPER,37.08423,-94.51328
1988,Missouri,0.0,0.0,2391.0173528411,5.0,5.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,JASPER,37.08423,-94.51328
1989,Iowa,0.0,0.0,0.0,0.0,0.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,JASPER,37.08423,-94.51328
1989,Missouri,0.0,0.0,1409423.15238718,2000.0,0.0,OTHER,JASPER,37.08423,-94.51328
1991,Iowa,0.0,1.0,356.74687785562,1.0,0.0,OTHER,JASPER,37.08423,-94.51328
1986,Texas,0.0,0.0,0.0,3000.0,2999.0,CORROSION,FORT BEND,29.61968,-95.63495
1990,Texas,0.0,0.0,29557.0977917981,60.0,59.0,OTHER,FORT BEND,29.61968,-95.63495
1991,Texas,0.0,0.0,47268.9613158696,10.0,0.0,CORROSION,FORT BEND,29.61968,-95.63495
1992,Texas,0.0,0.0,2610.40118870728,100.0,98.0,CORROSION,FORT BEND,29.61968,-95.63495
1995,Texas,0.0,0.0,26070.1168614357,150.0,150.0,OTHER,FORT BEND,29.61968,-95.63495
1996,Texas,0.0,0.0,4158.29578041786,6.0,0.0,OTHER,FORT BEND,29.61968,-95.63495
1986,New Jersey,0.0,0.0,0.0,3589.0,0.0,OTHER,MERCER,40.21705,-74.74294
1986,New Jersey,0.0,0.0,0.0,395.0,195.0,OTHER OUTSIDE FORCE DAMAGE,MERCER,40.21705,-74.74294
1993,Ohio,0.0,0.0,680139.3728223,855.0,618.0,OTHER OUTSIDE FORCE DAMAGE,MERCER,40.21705,-74.74294
1986,Texas,0.0,0.0,0.0,1300.0,212.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,HUTCHINSON,35.66782,-101.39739
1986,Texas,0.0,0.0,48183.4498114563,2519.0,0.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,HUTCHINSON,35.66782,-101.39739
1986,Texas,0.0,0.0,0.0,120.0,0.0,CORROSION,HUTCHINSON,35.66782,-101.39739
1989,Texas,0.0,0.0,7659.90843688686,90.0,0.0,CORROSION,HUTCHINSON,35.66782,-101.39739
1990,Texas,0.0,0.0,101602.523659306,1650.0,600.0,CORROSION,HUTCHINSON,35.66782,-101.39739
1990,Texas,0.0,0.0,20320.5047318612,850.0,0.0,OTHER OUTSIDE FORCE DAMAGE,HUTCHINSON,35.66782,-101.39739
1990,Texas,0.0,0.0,46182.9652996845,10.0,0.0,MATERIAL FAILURE OF PIPE OR WELD,HUTCHINSON,35.66782,-101.39739
1991,Texas,0.0,0.0,5153.20865062443,212.0,0.0,OTHER OUTSIDE FORCE DAMAGE,HUTCHINSON,35.66782,-101.39739
1992,Texas,0.0,0.0,80922.4368499257,1170.0,270.0,OTHER OUTSIDE FORCE DAMAGE,HUTCHINSON,35.66782,-101.39739
1994,Texas,0.0,0.0,11648.7638533674,300.0,68.0,CORROSION,HUTCHINSON,35.66782,-101.39739
1996,Texas,0.0,0.0,22499.5788611225,720.0,1.0,CORROSION,HUTCHINSON,35.66782,-101.39739
1998,Texas,0.0,0.0,14297.7662337662,32903.0,32606.0,OTHER,HUTCHINSON,35.66782,-101.39739
1986,Kansas,0.0,0.0,0.0,970.0,820.0,OTHER OUTSIDE FORCE DAMAGE,HASKELL,33.17823,-99.7303
1986,Texas,0.0,0.0,29442.9879691147,1800.0,1080.0,OTHER OUTSIDE FORCE DAMAGE,HASKELL,33.17823,-99.7303
1988,Texas,0.0,0.0,3985.02892140184,50.0,33.0,CORROSION,HASKELL,33.17823,-99.7303
1989,Texas,0.0,0.0,66162.4591236102,1900.0,1070.0,OTHER,HASKELL,33.17823,-99.7303
1989,Texas,0.0,0.0,1053.23741007194,110.0,100.0,OTHER,HASKELL,33.17823,-99.7303
1992,Texas,0.0,0.0,7309.12332838039,3020.0,2870.0,MATERIAL FAILURE OF PIPE OR WELD,HASKELL,33.17823,-99.7303
1993,Texas,0.0,0.0,34006.968641115,175.0,0.0,CORROSION,HASKELL,33.17823,-99.7303
1994,Oklahoma,0.0,0.0,83205.4560954817,40.0,8.0,CORROSION,HASKELL,33.17823,-99.7303
1994,Kansas,0.0,0.0,7072.46376811594,900.0,860.0,OTHER,HASKELL,33.17823,-99.7303
1996,Kansas,0.0,0.0,9596.06718557968,500.0,470.0,MATERIAL FAILURE OF PIPE OR WELD,HASKELL,33.17823,-99.7303
1999,Texas,0.0,0.0,30647.6514457674,516.0,320.0,INCORRECT OPERATION BY OPERATOR PERSONNEL,HASKELL,33.17823,-99.7303
1999,Texas,0.0,0.0,15323.8257228837,1200.0,1130.0,EQUIPMENT FAILURE,HASKELL,33.17823,-99.7303
1999,Kansas,0.0,0.0,22985.7385843255,1058.0,570.0,CORROSION,HASKELL,33.17823,-99.7303
1986,Minnesota,0.0,0.0,6309.21170766745,300.0,200.0,MATERIAL FAILURE OF PIPE OR WELD,DAKOTA,46.80833,-100.78374
1989,Minnesota,0.0,0.0,9574.88554610857,6.0,1.0,OTHER OUTSIDE FORCE DAMAGE,DAKOTA,46.80833,-100.78374
1994,Minnesota,0.0,0.0,12064.7911338448,500.0,0.0,EQUIPMENT FAILURE,DAKOTA,46.80833,-100.78374
1997,Minnesota,0.0,0.0,1225.72923654904,20.0,0.0,OTHER,DAKOTA,46.80833,-100.78374
1986,California,0.0,0.0,105153.528461124,500.0,110.0,OTHER OUTSIDE FORCE DAMAGE,KERN,35.37329,-119.01871
1986,California,0.0,0.0,315460.585383372,1250.0,520.0,OTHER OUTSIDE FORCE DAMAGE,KERN,35.37329,-119.01871
1986,California,0.0,0.0,27339.9173998923,984.0,700.0,MATERIAL FAILURE OF PIPE OR WELD,KERN,35.37329,-119.01871
1986,California,0.0,0.0,21030.7056922248,750.0,700.0,OTHER,KERN,35.37329,-119.01871
1986,California,0.0,0.0,73607.4699227869,380.0,225.0,OTHER OUTSIDE FORCE DAMAGE,KERN,35.37329,-119.01871
1986,California,0.0,0.0,11041.120488418,120.0,115.0,OTHER OUTSIDE FORCE DAMAGE,KERN,35.37329,-119.01871
1987,California,0.0,0.0,12341.4120126449,0.0,0.0,CORROSION,KERN,35.37329,-119.01871
1987,California,0.0,0.0,26739.7260273973,345.0,325.0,OTHER,KERN,35.37329,-119.01871
